title,movieid,year,movieurl,release_date,release_country,Trailer_Results,href,title,date,director,writer,cast,Trailers
The Boy in the Striped Pajamas,tt0914798,2008,http://www.imdb.com/title/tt0914798/,11/26/2008,USA,30,/boy-striped-pyjamas,The Boy in the Striped Pyjamas,9/12/2008,Mark Herman,Mark Herman,"Asa Butterfield,  Jack Scanlon,  Amber Beattie",1
Four Christmases,tt0369436,2008,http://www.imdb.com/title/tt0369436/,11/26/2008,USA,31,/four-christmases,Four Christmases,11/26/2008,Seth Gordon,"Matt R. Allen, Caleb Wilson, Jon Lucas, Scott Moore","Vince Vaughn,  Reese Witherspoon,  Robert Duvall",6
Transporter 3,tt1129442,2008,http://www.imdb.com/title/tt1129442/,11/26/2008,USA,4,/transporter-3,Transporter 3,11/26/2008,Olivier Megaton,"Luc Besson, Robert Mark Kamen","Jason Statham,  Robert Knepper,  Francois Berleand",12
Cadillac Records,tt1042877,2008,http://www.imdb.com/title/tt1042877/,12/5/2008,USA,5,/cadillac-records,Cadillac Records,12/5/2008,Darnell Martin,Darnell Martin,"Adrien Brody,  Beyonce Knowles,  Jeffrey Wright",7
Punisher: War Zone,tt0450314,2008,http://www.imdb.com/title/tt0450314/,12/5/2008,USA,31,/punisher-war-zone,Punisher: War Zone,12/5/2008,Lexi Alexander,"Matt Holloway, Art Marcum, Nick Santora, Kurt Sutter","Ray Stevenson,  Dominic West,  Julie Benz",11
The Day the Earth Stood Still,tt0970416,2008,http://www.imdb.com/title/tt0970416/,12/12/2008,USA,32,/day-the-earth-stood-still,The Day the Earth Stood Still,12/12/2008,Scott Derrickson,David Scarpa,"Keanu Reeves,  Jennifer Connelly,  Kathy Bates",15
Nothing Like the Holidays,tt1151915,2008,http://www.imdb.com/title/tt1151915/,12/12/2008,USA,31,/nothing-like-the-holidays,Nothing Like the Holidays,11/14/2008,Alfredo De Villa,"Rick Najera, Ted Perkins, Alison Swan","Luis Guzmán,  Freddy Rodriguez,  Debra Messing",2
Seven Pounds,tt0814314,2008,http://www.imdb.com/title/tt0814314/,12/19/2008,USA,28,/seven-pounds,Seven Pounds,12/19/2008,Gabriele Muccino,Grant Nieporte,"Will Smith,  Rosario Dawson,  Michael Ealy",18
The Tale of Despereaux,tt0420238,2008,http://www.imdb.com/title/tt0420238/,12/19/2008,USA,31,/tale-of-despereaux,The Tale of Despereaux,12/19/2008,"Sam Fell, Rob Stevenhagen",Gary Ross,"Matthew Broderick,  Robbie Coltrane,  Frances Conroy",17
Yes Man,tt1068680,2008,http://www.imdb.com/title/tt1068680/,12/19/2008,USA,31,/yes-man,Yes Man,12/19/2008,Peyton Reed,"Nicholas Stoller, Jarrad Paul, Andrew Mogel","Jim Carrey,  Zooey Deschanel,  Bradley Cooper",12
Bedtime Stories,tt0960731,2008,http://www.imdb.com/title/tt0960731/,12/25/2008,USA,27,/bedtime-stories,Bedtime Stories,12/25/2008,Adam Shankman,"Matt Lopez, Tim Herlihy","Adam Sandler,  Guy Pearce,  Keri Russell",25
The Curious Case of Benjamin Button,tt0421715,2008,http://www.imdb.com/title/tt0421715/,12/25/2008,USA,31,/curious-case-benjamin-button,The Curious Case of Benjamin Button,12/25/2008,David Fincher,Eric Roth,"Brad Pitt,  Cate Blanchett,  Tilda Swinton",16
Doubt,tt0918927,2008,http://www.imdb.com/title/tt0918927/,12/25/2008,USA,5,/doubt,Doubt,12/12/2008,John Patrick Shanley,John Patrick Shanley,"Meryl Streep,  Philip Seymour Hoffman,  Amy Adams",6
Marley & Me,tt0822832,2008,http://www.imdb.com/title/tt0822832/,12/25/2008,USA,31,/marley-me,Marley & Me,12/25/2008,David Frankel,Scott Frank,"Owen Wilson,  Jennifer Aniston,  Alan Arkin",5
Slumdog Millionaire,tt1010048,2008,http://www.imdb.com/title/tt1010048/,12/25/2008,USA,3,/slumdog-millionaire,Slumdog Millionaire,11/12/2008,Danny Boyle,Simon Beaufoy,"Dev Patel,  Madhur Mittal,  Freida Pinto",17
The Spirit,tt0831887,2008,http://www.imdb.com/title/tt0831887/,12/25/2008,USA,26,/the-spirit,The Spirit,12/25/2008,Frank Miller,Frank Miller,"Gabriel Macht,  Samuel L. Jackson,  Scarlett Johansson",35
Valkyrie,tt0985699,2008,http://www.imdb.com/title/tt0985699/,12/25/2008,USA,2,/valkyrie,Valkyrie,12/26/2008,Bryan Singer,"Nathan Alexander, Christopher McQuarrie","Tom Cruise,  Kenneth Branagh,  Bill Nighy",30
Bride Wars,tt0901476,2009,http://www.imdb.com/title/tt0901476/,1/9/2009,USA,31,/bride-wars,Bride Wars,1/9/2009,Gary Winick,"June Diane Raphael, Casey Wilson, Karen McCullah Lutz, Kirsten Smith","Anne Hathaway,  Kate Hudson,  Candice Bergen",2
Gran Torino,tt1205489,2009,http://www.imdb.com/title/tt1205489/,1/9/2009,USA,2,/gran-torino,Gran Torino,12/17/2008,Clint Eastwood,Nick Schenk,"Clint Eastwood,  Brian Haley,  Bee Vang",4
Not Easily Broken,tt0795438,2009,http://www.imdb.com/title/tt0795438/,1/9/2009,USA,31,/not-easily-broken,Not Easily Broken,1/9/2009,Bill Duke,"Brian Bird, T.D. Jakes","Maeve Quinlan,  Cannon Jay,  Taraji P. Henson",3
The Unborn,tt1139668,2009,http://www.imdb.com/title/tt1139668/,1/9/2009,USA,1,/the-unborn,The Unborn,1/9/2009,David S. Goyer,David S. Goyer,"Odette Yustman,  Gary Oldman,  Meagan Good",17
Yonkers Joe,tt1018830,2009,http://www.imdb.com/title/tt1018830/,1/9/2009,USA,27,/yonkers-joe,Yonkers Joe,1/9/2009,Robert Celestino,Robert Celestino,"Chazz Palminteri,  Christine Lahti,  Tom Guiry",2
Defiance,tt1034303,2009,http://www.imdb.com/title/tt1034303/,1/16/2009,USA,2,/defiance,Defiance,12/31/2008,Ed Zwick,"Ed Zwick, Clay Frohman","Daniel Craig,  Liev Schreiber,  Jamie Bell",15
Hotel for Dogs,tt0785006,2009,http://www.imdb.com/title/tt0785006/,1/16/2009,USA,31,/hotel-for-dogs,Hotel for Dogs,1/16/2009,Thor Freudenthal,Jeff Lowell,"Jake T. Austin,  Don Cheadle,  Emma Roberts",13
Last Chance Harvey,tt1046947,2009,http://www.imdb.com/title/tt1046947/,1/16/2009,USA,31,/last-chance-harvey,Last Chance Harvey,1/23/2009,Joel Hopkins,Joel Hopkins,"Dustin Hoffman,  Emma Thompson,  Kathy Baker",11
Paul Blart: Mall Cop,tt1114740,2009,http://www.imdb.com/title/tt1114740/,1/16/2009,USA,31,/mall-cop,Paul Blart: Mall Cop,1/16/2009,Steve Carr,"Kevin James, Nick Bakay, Steve Pink","Kevin James,  Jayma Mays,  Shirley Knight",12
My Bloody Valentine,tt1179891,2009,http://www.imdb.com/title/tt1179891/,1/16/2009,USA,30,/my-bloody-valentine-3-d,My Bloody Valentine 3-D,1/16/2009,Patrick Lussier,Zane Smith,"Jensen Ackles,  Jaime King,  Kerr Smith",15
Notorious,tt0472198,2009,http://www.imdb.com/title/tt0472198/,1/16/2009,USA,5,/notorious,Notorious,1/16/2009,George Tillman Jr.,"Reggie Rock Bythewood, Cheo Hodari Coker","Jamal Woolard,  Angela Bassett,  Derek Luke",30
Frost/Nixon,tt0870111,2009,http://www.imdb.com/title/tt0870111/,1/23/2009,USA,6,/frost-nixon,Frost/Nixon,12/5/2008,Ron Howard,Peter Morgan,"Frank Langella,  Michael Sheen,  Rebecca Hall",11
Inkheart,tt0494238,2009,http://www.imdb.com/title/tt0494238/,1/23/2009,USA,1,/inkheart,Inkheart,1/23/2009,Iain Softley,David Lindsay-Abaire,"Brendan Fraser,  Paul Bettany,  Jim Broadbent",5
Revolutionary Road,tt0959337,2009,http://www.imdb.com/title/tt0959337/,1/23/2009,USA,31,/revolutionary-road,Revolutionary Road,12/26/2008,Sam Mendes,Justin Haythe,"Leonardo DiCaprio,  Kate Winslet,  Michael Shannon",10
Underworld: Rise of the Lycans,tt0834001,2009,http://www.imdb.com/title/tt0834001/,1/23/2009,USA,31,/underworld-3,Underworld: Rise of the Lycans,1/23/2009,Patrick Tatopoulos,Danny McBride,"Michael Sheen,  Bill Nighy,  Rhona Mitra",27
Milk,tt1013753,2009,http://www.imdb.com/title/tt1013753/,1/30/2009,USA,10,/milk,Milk,12/5/2008,Gus Van Sant,Dustin Lance Black,"Sean Penn,  Emile Hirsch,  Josh Brolin",18
New in Town,tt1095174,2009,http://www.imdb.com/title/tt1095174/,1/30/2009,USA,31,/new-in-town,New in Town,1/30/2009,Jonas Elmer,"Kenneth Rance, C. Jay Cox","Renee Zellweger,  Harry Connick Jr.,  J.K. Simmons",15
Taken,tt0936501,2009,http://www.imdb.com/title/tt0936501/,1/30/2009,USA,10,/taken-2008,Taken,1/30/2009,Pierre Morel,"Luc Besson, Robert Mark Kamen","Liam Neeson,  Famke Janssen,  Maggie Grace",8
The Reader,tt0976051,2009,http://www.imdb.com/title/tt0976051/,1/30/2009,USA,3,/the-reader,The Reader,1/9/2009,Stephen Daldry,"David Hare, Bernhard Schlink","Ralph Fiennes,  Kate Winslet,  David Kross",2
The Uninvited,tt0815245,2009,http://www.imdb.com/title/tt0815245/,1/30/2009,USA,2,/the-univented,The Uninvited,1/30/2009,"Thomas Guard, Charles Guard","Craig Rosenberg, Doug Miro, Carlo Bernard","Emily Browning,  Elizabeth Banks,  Arielle Kebbel",11
The Wrestler,tt1125849,2009,http://www.imdb.com/title/tt1125849/,1/30/2009,USA,3,/the-wrestler,The Wrestler,12/19/2008,Darren Aronofsky,Robert Siegel,"Mickey Rourke,  Marisa Tomei,  Ernest Miller",15
Coraline,tt0327597,2009,http://www.imdb.com/title/tt0327597/,2/6/2009,USA,1,/coraline,Coraline,2/6/2009,Henry Selick,"Henry Selick, Neil Gaiman","Dakota Fanning,  Teri Hatcher,  Dawn French",42
He's Just Not That Into You,tt1001508,2009,http://www.imdb.com/title/tt1001508/,2/6/2009,USA,30,/hes-just-not-that-into-you,He's Just Not That Into You,2/6/2008,Ken Kwapis,"Abby Kohn, Marc Silverstein","Drew Barrymore,  Jennifer Aniston,  Ben Affleck",18
Push,tt0465580,2009,http://www.imdb.com/title/tt0465580/,2/6/2009,USA,6,/push,Push,2/6/2009,Paul McGuigan,David Bourla,"Chris Evans,  Dakota Fanning,  Camilla Belle",6
The Pink Panther 2,tt0838232,2009,http://www.imdb.com/title/tt0838232/,2/6/2009,USA,18,/the-pink-panther-2,The Pink Panther 2,2/6/2009,Harald Zwart,"Lowell Ganz, Babaloo Mandel","Steve Martin,  Jean Reno,  Emily Mortimer",23
Confessions of a Shopaholic,tt1093908,2009,http://www.imdb.com/title/tt1093908/,2/13/2009,USA,31,/confessions-of-a-shopoholic,Confessions of a Shopaholic,2/13/2009,P.J. Hogan,"Kayla Alpert, Tim Firth, Tracey Jackson, Sophie Kinsella	(book)","Isla Fisher,  Joan Cusack,  John Goodman",23
Friday the 13th,tt0758746,2009,http://www.imdb.com/title/tt0758746/,2/13/2009,USA,21,/friday-the-13th-2009,Friday the 13th,2/13/2009,Marcus Nispel,"Damian Shannon, Mark Swift","Jared Padalecki,  Amanda Righetti,  Danielle Panabaker",30
The International,tt0963178,2009,http://www.imdb.com/title/tt0963178/,2/13/2009,USA,7,/the-international,The International,2/13/2009,Tom Tykwer,Eric Singer,"Clive Owen,  Naomi Watts,  Armin Mueller-Stahl",21
Fired Up!,tt1083456,2009,http://www.imdb.com/title/tt1083456/,2/20/2009,USA,30,/fired-up,Fired Up,2/20/2009,Will Gluck,Freedom Jones,"Nicholas D'Agosto,  Eric Christian Olsen,  Sarah Roemer",27
I've Loved You So Long,tt1068649,2009,http://www.imdb.com/title/tt1068649/,2/20/2009,USA,30,/loved-you-so-long,I've Loved You So Long (Il y a longtemps que je t'aime),10/24/2008,Philippe Claudel,Philippe Claudel,"Kristin Scott Thomas,  Elsa Zylberstein,  Serge Hazanavicius",1
Madea Goes to Jail,tt1142800,2009,http://www.imdb.com/title/tt1142800/,2/20/2009,USA,30,/madea-goes-to-jail,Tyler Perry's Madea Goes to Jail,2/20/2009,Tyler Perry,Tyler Perry,"Tyler Perry,  Keshia Knight Pulliam,  Derek Luke",19
Street Fighter: The Legend of Chun-Li,tt0891592,2009,http://www.imdb.com/title/tt0891592/,2/27/2009,USA,31,/street-fighter-legend-chun-li,Street Fighter: The Legend of Chun Li,2/27/2009,Andrzej Bartkowiak,Justin Marks,"Kristin Kreuk,  Michael Clarke Duncan,  Neal McDonough",6
Watchmen,tt0409459,2009,http://www.imdb.com/title/tt0409459/,3/6/2009,USA,1,/watchmen,Watchmen,3/6/2009,Zack Snyder,"David Hayter, Alex Tse","Patrick Wilson,  Jackie Earle Haley,  Matthew Goode",96
Miss March,tt1151922,2009,http://www.imdb.com/title/tt1151922/,3/13/2009,USA,31,/miss-march,Miss March,3/13/2009,"Zach Cregger, Trevor Moore","Zach Cregger, Trevor Moore","Zach Cregger,  Trevor Moore,  Raquel Alessi",21
Race to Witch Mountain,tt1075417,2009,http://www.imdb.com/title/tt1075417/,3/13/2009,USA,31,/race-to-witch-mountain,Race to Witch Mountain,3/13/2009,Andy Fickman,Matt Lopez,"Dwayne Johnson,  Carla Gugino,  Garry Marshall",25
The Last House on the Left,tt0844708,2009,http://www.imdb.com/title/tt0844708/,3/13/2009,USA,32,/the-last-house-on-the-left,The Last House on the Left,3/13/2009,Dennis Iliadis,Carl Ellsworth,"Tony Goldwyn,  Monica Potter,  Sara Paxton",16
Duplicity,tt1135487,2009,http://www.imdb.com/title/tt1135487/,3/20/2009,USA,1,/duplicity,Duplicity,3/20/2009,Tony Gilroy,Tony Gilroy,"Julia Roberts,  Clive Owen,  Tom Wilkinson",13
"I Love You, Man",tt1155056,2009,http://www.imdb.com/title/tt1155056/,3/20/2009,USA,31,/i-love-you-man,"I Love You, Man",3/20/2009,John Hamburg,John Hamburg,"Paul Rudd,  Jason Segel,  Jaime Pressly",30
Knowing,tt0448011,2009,http://www.imdb.com/title/tt0448011/,3/20/2009,USA,1,/knowing,Knowing,3/20/2009,Alex Proyas,"Alex Proyas, Stuart Hazeldine, Ryne Douglas Pearson, Juliet Snowden, Stiles White, Richard Kelly","Nicolas Cage,  Rose Byrne,  Chandler Canterbury",9
Two Lovers,tt1103275,2009,http://www.imdb.com/title/tt1103275/,3/20/2009,USA,31,/two-lovers,Two Lovers,1/9/2009,James Gray,"James Gray, Ric Menello","Joaquin Phoenix,  Gwyneth Paltrow,  Vinessa Shaw",4
12 Rounds,tt1160368,2009,http://www.imdb.com/title/tt1160368/,3/27/2009,USA,16,/12-rounds,12 Rounds,3/27/2009,Renny Harlin,Daniel Kunka,"John Cena,  Steve Harris,  Aidan Gillen",4
The Haunting in Connecticut,tt0492044,2009,http://www.imdb.com/title/tt0492044/,3/27/2009,USA,31,/haunting-in-connecticut,The Haunting in Connecticut,3/27/2009,Peter Cornwell,"Adam Simon, Tim Metcalfe","Virginia Madsen,  Kyle Gallner,  Martin Donovan",20
Monsters vs. Aliens,tt0892782,2009,http://www.imdb.com/title/tt0892782/,3/27/2009,USA,31,/monsters-vs-aliens,Monsters vs. Aliens,3/27/2009,"Rob Letterman, Conrad Vernon",Unknown or Not Available,"Seth Rogen,  Reese Witherspoon,  Paul Rudd",50
Adventureland,tt1091722,2009,http://www.imdb.com/title/tt1091722/,4/3/2009,USA,1,/adventureland,Adventureland,4/3/2009,Greg Mottola,Greg Mottola,"Jesse Eisenberg,  Ryan Reynolds,  Kristen Stewart",13
Fast & Furious,tt1013752,2009,http://www.imdb.com/title/tt1013752/,4/3/2009,USA,26,/fast-and-furious-2009,Fast & Furious,4/3/2009,Justin Lin,Chris Morgan,"Vin Diesel,  Paul Walker,  Michelle Rodriguez",31
Dragonball: Evolution,tt1098327,2009,http://www.imdb.com/title/tt1098327/,4/10/2009,USA,13,/dragonball,Dragonball Evolution,4/10/2009,James Wong,James Wong,"Justin Chatwin,  James Marsters,  Jamie Chung",21
Hannah Montana: The Movie,tt1114677,2009,http://www.imdb.com/title/tt1114677/,4/10/2009,USA,30,/hannah-montana-movie,Hannah Montana The Movie,4/10/2009,Peter Chelsom,Dan Berendsen,"Miley Cyrus,  Mitchel Musso,  Billy Ray Cyrus",21
Observe and Report,tt1197628,2009,http://www.imdb.com/title/tt1197628/,4/10/2009,USA,31,/observe-and-report,Observe and Report,4/10/2009,Jody Hill,Jody Hill,"Seth Rogen,  Anna Faris,  Michael Pena",22
17 Again,tt0974661,2009,http://www.imdb.com/title/tt0974661/,4/17/2009,USA,27,/17-again,17 Again,4/17/2009,Burr Steers,Jason Filardi,"Zac Efron,  Leslie Mann,  Thomas Lennon",23
Crank: High Voltage,tt1121931,2009,http://www.imdb.com/title/tt1121931/,4/17/2009,USA,30,/crank-high-voltage,Crank 2: High Voltage,4/17/2009,"Mark Neveldine, Brian Taylor","Mark Neveldine, Brian Taylor","Jason Statham,  Amy Smart,  Dwight Yoakam",22
State of Play,tt0473705,2009,http://www.imdb.com/title/tt0473705/,4/17/2009,USA,31,/state-of-play,State of Play,4/17/2009,Kevin Macdonald,"Matthew Michael Carnahan, Tony Gilroy, Billy Ray","Russell Crowe,  Ben Affleck,  Rachel McAdams",17
Sunshine Cleaning,tt0862846,2009,http://www.imdb.com/title/tt0862846/,4/17/2009,USA,15,/sunshine-cleaning,Sunshine Cleaning,3/13/2009,Christine Jeffs,Megan Holley,"Amy Adams,  Emily Blunt,  Alan Arkin",11
Fighting,tt1082601,2009,http://www.imdb.com/title/tt1082601/,4/24/2009,USA,12,/fighting,Fighting,4/24/2009,Dito Montiel,"Dito Montiel, Robert Munich","Channing Tatum,  Terrence Howard,  Brian J. White",19
Obsessed,tt1198138,2009,http://www.imdb.com/title/tt1198138/,4/24/2009,USA,1,/obsessed,Obsessed,4/24/2009,Steve Shill,David Loughery,"Idris Elba,  Beyonce Knowles,  Ali Larter",18
Sugar,tt0990413,2009,http://www.imdb.com/title/tt0990413/,4/24/2009,USA,10,/sugar,Sugar,4/3/2009,"Anna Boden, Ryan Fleck","Anna Boden, Ryan Fleck","Algenis Pérez Soto,  Rayniel Rufino,  Andre Holland",5
The Soloist,tt0821642,2009,http://www.imdb.com/title/tt0821642/,4/24/2009,USA,1,/the-soloist,The Soloist,4/24/2009,Joe Wright,"Susannah Grant, Steve Lopez (book)","Jamie Foxx,  Robert Downey,  Jr.",29
Battle for Terra,tt0858486,2009,http://www.imdb.com/title/tt0858486/,5/1/2009,USA,31,/battle-for-terra,Battle for Terra,5/1/2009,Aristomenis Tsirbas,Evan Spiliotopoulos,"Evan Rachel Wood,  Brian Cox,  Luke Wilson",4
Ghosts of Girlfriends Past,tt0821640,2009,http://www.imdb.com/title/tt0821640/,5/1/2009,USA,31,/ghosts-of-girlfriends-past,Ghosts of Girlfriends Past,5/1/2009,Mark S. Waters,"Scott Moore, John Lucas","Matthew McConaughey,  Jennifer Garner,  Lacey Chabert",19
X-Men Origins: Wolverine,tt0458525,2009,http://www.imdb.com/title/tt0458525/,5/1/2009,USA,30,/xmen-origins-wolverine,X-Men Origins: Wolverine,5/1/2009,Gavin Hood,David Benioff,"Hugh Jackman,  Liev Schreiber,  Ryan Reynolds",53
Next Day Air,tt1097013,2009,http://www.imdb.com/title/tt1097013/,5/8/2009,USA,31,/next-day-air,Next Day Air,5/8/2009,Benny Boom,Blair Cobbs,"Donald Faison,  Mike Epps,  Wood Harris",3
Star Trek,tt0796366,2009,http://www.imdb.com/title/tt0796366/,5/8/2009,USA,31,/star-trek-xi,Star Trek,5/8/2009,J.J. Abrams,"Alex Kurtzman, Roberto Orci","Zachary Quinto,  Leonard Nimoy,  Eric Bana",66
Angels & Demons,tt0808151,2009,http://www.imdb.com/title/tt0808151/,5/15/2009,USA,31,/angels-anf-demons,Angels & Demons,5/15/2009,Ron Howard,"Dan Brown, Akiva Goldsman","Tom Hanks,  Ayelet Zurer,  Ewan McGregor",41
Is Anybody There?,tt1130088,2009,http://www.imdb.com/title/tt1130088/,5/15/2009,USA,31,/is-anybody-there,Is Anybody There?,4/17/2009,John Crowley,Peter Harness,"Michael Caine,  Bill Milner,  Anne-Marie Duff",2
Terminator Salvation,tt0438488,2009,http://www.imdb.com/title/tt0438488/,5/21/2009,USA,12,/terminator-salvation,Terminator Salvation,5/21/2009,McG,"John Brancato, Michael Ferris","Christian Bale,  Sam Worthington,  Anton Yelchin",68
Dance Flick,tt1153706,2009,http://www.imdb.com/title/tt1153706/,5/22/2009,USA,31,/dance-flick,Dance Flick,5/22/2009,Keenen Ivory Wayans,"Keenen Ivory Wayans, Shawn Wayans, Marlon Wayans","Shoshana Bush,  Essence Atkins,  Chelsea Makela",17
Night at the Museum: Battle of the Smithsonian,tt1078912,2009,http://www.imdb.com/title/tt1078912/,5/22/2009,USA,31,/night-at-the-museum-2,Night at the Museum: Battle of the Smithsonian,5/22/2009,Shawn Levy,"Robert Ben Garant, Thomas Lennon, Scott Frank","Ben Stiller,  Amy Adams,  Hank Azaria",13
Drag Me to Hell,tt1127180,2009,http://www.imdb.com/title/tt1127180/,5/29/2009,USA,31,/drag-me-to-hell,Drag Me to Hell,5/29/2009,Sam Raimi,"Sam Raimi, Ivan Raimi","Alison Lohman,  Justin Long,  Lorna Raver",19
Up,tt1049413,2009,http://www.imdb.com/title/tt1049413/,5/29/2009,USA,31,/up,Up,5/29/2009,"Pete Docter, Bob Peterson",Bob Peterson,"Edward Asner,  Christopher Plummer,  John Ratzenberger",47
Land of the Lost,tt0457400,2009,http://www.imdb.com/title/tt0457400/,6/5/2009,USA,31,/land-of-the-lost,Land of the Lost,6/5/2009,Brad Silberling,"Chris Henchy, Dennis McNicholas","Will Ferrell,  Danny R. McBride,  Anna Friel",36
My Life in Ruins,tt0865559,2009,http://www.imdb.com/title/tt0865559/,6/5/2009,USA,31,/my-life-in-ruins,My Life in Ruins,5/8/2009,Donald Petrie,Mike Reiss,"Nia Vardalos,  Richard Dreyfuss,  Harland Williams",16
Summer Hours,tt0836700,2009,http://www.imdb.com/title/tt0836700/,6/5/2009,USA,30,/summer-hours,Summer Hours (L' Heure d'été),5/8/2009,Olivier Assayas,Olivier Assayas,"Juliette Binoche,  Charles Berling,  Jérémie Renier",2
The Hangover,tt1119646,2009,http://www.imdb.com/title/tt1119646/,6/5/2009,USA,3,/the-hangover,The Hangover,6/5/2009,Todd Phillips,"Jon Lucas, Scott Moore, Todd Phillips, Jeremy Garelick","Bradley Cooper,  Ed Helms,  Zach Galifianakis",39
Imagine That,tt0780567,2009,http://www.imdb.com/title/tt0780567/,6/12/2009,USA,31,/imagine-that,Imagine That,6/12/2009,Karey Kirkpatrick,"Ed Solomon, Chris Matheson","Eddie Murphy,  Thomas Haden Church,  Nicole Ari Parker",14
The Taking of Pelham 1 2 3,tt1111422,2009,http://www.imdb.com/title/tt1111422/,6/12/2009,USA,31,/taking-of-pelham-1-2-3,The Taking of Pelham 1 2 3,6/12/2009,Tony Scott,Brian Helgeland,"Denzel Washington,  John Travolta,  John Turturro",25
Easy Virtue,tt0808244,2009,http://www.imdb.com/title/tt0808244/,6/19/2009,USA,18,/easy-virtue,Easy Virtue,5/22/2009,Stephan Elliott,"Noel Coward, Stephan Elliott, Sheridan Jobbins","Jessica Biel,  Ben Barnes,  Kristin Scott Thomas",9
The Brothers Bloom,tt0844286,2009,http://www.imdb.com/title/tt0844286/,6/19/2009,USA,31,/the-brothers-bloom,The Brothers Bloom,5/15/2009,Rian Johnson,Rian Johnson,"Rachel Weisz,  Adrien Brody,  Mark Ruffalo",4
The Proposal,tt1041829,2009,http://www.imdb.com/title/tt1041829/,6/19/2009,USA,3,/the-proposal,The Proposal,6/12/2009,Anne Fletcher,Peter Chiarelli,"Sandra Bullock,  Ryan Reynolds,  Malin Akerman",20
Year One,tt1045778,2009,http://www.imdb.com/title/tt1045778/,6/19/2009,USA,31,/year-one,Year One,6/19/2009,Harold Ramis,"Harold Ramis, Gene Stupnitsky, Lee Eisenberg","Jack Black,  Michael Cera,  Oliver Platt",31
Transformers: Revenge of the Fallen,tt1055369,2009,http://www.imdb.com/title/tt1055369/,6/24/2009,USA,31,/transformers-2,Transformers: Revenge of the Fallen,6/24/2009,Michael Bay,"Alex Kurtzman, Roberto Orci, Ehren Kruger","Shia LaBeouf,  Megan Fox,  Josh Duhamel",92
